2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.234, BEL:0.105, BAT:0.094, STORJ:0.077, ENJ:0.073, TRB:0.073, ATOM:0.071, CRV:0.062, THETA:0.059, ZEN:0.052
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.166, TRX:0.111, CRV:0.087, AVAX:0.086, RSR:0.082, QTUM:0.078, 1INCH:0.075, KNC:0.073, ZEN:0.072, BEL:0.072
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.152, IOST:0.136, XRP:0.097, VET:0.094, TRX:0.088, KSM:0.086, THETA:0.070, BAT:0.069, ALPHA:0.061, RSR:0.048
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BAT:0.114, KSM:0.113, VET:0.104, FIL:0.102, THETA:0.099, RSR:0.098, TRX:0.093, TRB:0.071, XRP:0.054, SXP:0.051
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> KSM:0.133, THETA:0.132, XRP:0.103, FIL:0.094, KNC:0.087, TRB:0.083, IOTA:0.078, TRX:0.068, BAT:0.066, UNI:0.058
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> THETA:0.238, STORJ:0.204, IOTA:0.088, KSM:0.084, ALPHA:0.068, FIL:0.063, TRX:0.044, CRV:0.043, ONT:0.034, QTUM:0.034
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> THETA:0.219, QTUM:0.163, STORJ:0.143, KSM:0.141, FIL:0.072, VET:0.066, IOST:0.049, TRB:0.047
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> THETA:0.233, QTUM:0.213, STORJ:0.127, XRP:0.089, FIL:0.084, TRX:0.053, KSM:0.048, VET:0.025, IOTA:0.018, ONT:0.010
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.179, STORJ:0.143, THETA:0.125, XRP:0.086, TRB:0.083, QTUM:0.074, KSM:0.056, ONT:0.053, RUNE:0.053, SOL:0.048
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> STORJ:0.292, FIL:0.117, TRB:0.105, ICX:0.070, SOL:0.062, ONT:0.058, THETA:0.057, KSM:0.052, QTUM:0.044, CRV:0.042
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> STORJ:0.189, FIL:0.147, SOL:0.099, THETA:0.085, TRB:0.077, KSM:0.071, FLM:0.069, ONT:0.064, QTUM:0.051, CRV:0.049
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> STORJ:0.177, FIL:0.123, ICX:0.093, SOL:0.080, RUNE:0.076, AXS:0.074, ALGO:0.071, QTUM:0.070, CRV:0.070, ONT:0.066
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.165, RUNE:0.102, AXS:0.090, BNB:0.087, ICX:0.082, BEL:0.079, ZRX:0.077, TRB:0.075, FLM:0.072, SOL:0.071
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FIL:0.124, FLM:0.120, RUNE:0.117, TRX:0.110, BEL:0.094, NEO:0.069, ETC:0.068, BAND:0.067, ETH:0.066, ICX:0.066
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.115, RUNE:0.111, BEL:0.108, FIL:0.104, FLM:0.086, STORJ:0.079, TRX:0.076, SOL:0.075, ETH:0.074, ZEC:0.072
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> FLM:0.118, ETH:0.108, ETC:0.096, COMP:0.093, BNB:0.086, BEL:0.082, RUNE:0.082, TRX:0.081, SOL:0.078, LINK:0.075
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> TRX:0.138, RUNE:0.107, SOL:0.102, BEL:0.095, FLM:0.091, COMP:0.088, ZEC:0.085, ETH:0.065, DOT:0.065, FIL:0.064
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> TRX:0.148, RUNE:0.122, COMP:0.115, ETH:0.080, SXP:0.079, DASH:0.076, DOT:0.071, ETC:0.071, BNB:0.070, QTUM:0.067
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> TRX:0.127, XRP:0.127, BCH:0.100, ETC:0.095, BNB:0.090, XLM:0.077, ETH:0.074, NEO:0.072, ZEC:0.072, LTC:0.066
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> QTUM:0.143, XRP:0.132, TRX:0.097, FLM:0.092, ETC:0.090, NEO:0.084, EGLD:0.073, LINK:0.064, VET:0.063, XLM:0.062
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.123, SOL:0.112, 1INCH:0.099, ZEN:0.099, ETC:0.099, YFI:0.086, BNB:0.080, QTUM:0.072, EGLD:0.067, VET:0.062
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.139, YFI:0.100, QTUM:0.099, VET:0.091, ETC:0.090, SOL:0.089, IOTA:0.080, 1INCH:0.073, TRX:0.071, RUNE:0.066
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.125, RUNE:0.123, BNB:0.119, VET:0.099, SOL:0.090, BAT:0.078, QTUM:0.075, SXP:0.067, 1INCH:0.062, ENJ:0.061
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.190, VET:0.092, ETC:0.090, BNB:0.086, XLM:0.083, IOTA:0.081, LTC:0.075, BCH:0.074, QTUM:0.066, EGLD:0.063
2025-10-09 16:06:18 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XRP:0.147, BNB:0.133, EGLD:0.101, XMR:0.092, VET:0.078, XLM:0.073, DOGE:0.071, IOTA:0.071, ZEC:0.070, ALGO:0.065
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BNB:0.186, XRP:0.123, UNI:0.096, RUNE:0.095, EGLD:0.092, VET:0.071, SOL:0.068, XMR:0.061, DOGE:0.054, IOTA:0.054
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.143, XRP:0.113, RUNE:0.102, BNB:0.094, VET:0.089, BTC:0.075, ZEN:0.074, IOST:0.073, XMR:0.071, ADA:0.066
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.144, VET:0.104, XRP:0.094, ETH:0.089, RUNE:0.087, IOST:0.084, ATOM:0.080, ZEC:0.079, LINK:0.072, BNB:0.066
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.233, ZEN:0.085, BCH:0.082, ETC:0.079, ETH:0.075, ZEC:0.073, XRP:0.072, VET:0.069, XMR:0.066, AAVE:0.066
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.245, VET:0.098, ZEN:0.091, ETC:0.089, BCH:0.085, NEO:0.067, LTC:0.063, DASH:0.057, ZEC:0.055, RSR:0.049
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.230, NEO:0.103, IOST:0.094, ETC:0.083, LRC:0.075, VET:0.074, ZEN:0.073, XMR:0.062, ZEC:0.056, BCH:0.050
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.213, NEO:0.129, VET:0.108, ETC:0.087, RUNE:0.081, YFI:0.066, BCH:0.062, ZEN:0.056, QTUM:0.052, ONT:0.045
2025-10-09 16:06:19 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> DOGE:0.478, NEO:0.089, ETC:0.088, VET:0.086, AXS:0.046, BCH:0.046, XMR:0.032, TRB:0.021, QTUM:0.014
